date,username,tweet,location
2023-01-16 06:38:00,Indonesia_Pedia,"Manfaat Lapak Ganjar terus dirasakan masyarakat. Program yang diinisiasi Gubernur Jateng @ganjarpranowo berhasil mendongkrak usaha UMKM.  Sempat terpuruk akibat terpaan pandemi, usaha Haryo Industri yang memproduksi sirup Daker (akronim dari daun kersen) mulai bangkit.  https://t.co/3oC9qWS4QH",SULAWESI TENGAH
2023-01-16 06:37:06,Adhit_1909,"@Valosenadya1 @ProfesorSuteki @RamliRizal @ReflyHZ @fadlizon @undip @unpad @UGMYogyakarta Denmas @ganjarpranowo ngomong apaan sik, mutar muter ga jelas, seolah paham yg dibucarakan pdhal nill",SULAWESI TENGAH
2023-01-16 06:31:23,TAMA_Pictures,@poldajateng_ @ganjarpranowo @humasjateng @DivHumas_Polri,SULAWESI TENGAH
2023-01-16 06:23:45,bjorkabjorki,@Irwan2yah1 @DivHumas_Polri @ganjarpranowo Warga boleh main hakim sendiri lah,SULAWESI TENGAH
2023-01-16 06:01:21,aliefxzn,@ganjarpranowo Posene pasaran bgt..,SULAWESI TENGAH
2023-01-16 05:56:34,ArahResikInd,"#rk24 #rkri124 Prediksi Pilpres Tahun 2024 akan diikuti 4 (empat ) Capres, Yaitu :  1. Prabowo Subianto  (Gerindra+PKB)  2. Anies Baswedan (Nasdem+PKS+perindo+Hanura)  3. Ganjar Pranowo (PDIP+PSI)  4. Ridwan Kamil (GOLKAR+PAN+PPP)  https://t.co/6Y6CoUbXgh",SULAWESI TENGAH
2023-01-16 05:55:32,TEABOBI,"#rk24 #rkri124 Prediksi Pilpres Tahun 2024 akan diikuti 4 (empat ) Capres, Yaitu :  1. Prabowo Subianto  (Gerindra+PKB)  2. Anies Baswedan (Nasdem+PKS+perindo+Hanura)  3. Ganjar Pranowo (PDIP+PSI)  4. Ridwan Kamil (GOLKAR+PAN+PPP)  https://t.co/Kmjq9h6WxS",SULAWESI TENGAH
2023-01-16 05:45:01,tribunkaltim,"Sejumlah fakta menarik jelang Pilpres 2024 terkuak, Anies tak pengaruhi suara Prabowo di Jabar, Ganjar tak terbendung di Jateng  https://t.co/lAdCTUMMhe #pilpres2024 #GanjarPranowo #ganjar_pranowo #aniesbaswedan #prabowo #beritaterkini #beritaterbaru",SULAWESI TENGAH
2023-01-16 05:02:07,hudiyanto27,"@bachrum_achmadi Om Ganjar Pranowo, Lgi belajar politik identitas wkwkwkwk",SULAWESI TENGAH
2023-01-16 04:18:43,robbisantiaji,@Irwan2yah1 @DivHumas_Polri @ganjarpranowo Bendera pdip... Mungkin mereka ambil dr pinggir jalan... Karena di semarang  saat ini jatah pdip pasang bendera dipinggir pinggir jalan.,SULAWESI TENGAH
2023-01-16 04:10:50,Ziantozi,@ariefrasyad @jokowi @ganjarpranowo Aamiin,SULAWESI TENGAH
2023-01-16 04:07:22,EgraPerkasa,@muzantara @bachrum_achmadi @ganjarpranowo Pasti si @bachrum_achmadi langsung Skip 😂,SULAWESI TENGAH
2023-01-16 03:46:02,jpnncom,"Bawa Jateng Jadi Lumbung Beras Nasional, Ganjar: Petani Kita Hebat #GanjarPranowo  https://t.co/9MCzRwjX2P",SULAWESI TENGAH
2023-01-16 03:40:11,Inamala_Retrisa,Ini baru namanya Pemimpin terbaik.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/k3qZaEZvNW,SULAWESI TENGAH
2023-01-16 03:39:14,Inamala_Retrisa,Pak Ganjar siap melanjutkan kepemimpinan Presiden Jokowi.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/1Hs4p3igvY,SULAWESI TENGAH
2023-01-16 03:38:44,Inamala_Retrisa,Terbaik! Pak Ganjar bawah Jawa Tengah tangguh bencana. #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/EKwlYDZwqZ,SULAWESI TENGAH
2023-01-16 03:37:35,Inamala_Retrisa,Top Markotop! Lapak Ganjar bikin produk ribuan UMKM laris manis.  #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab  https://t.co/JtOnMYOFBk,SULAWESI TENGAH
